route_name,analysis,left_epoch,right_epoch,break_index,pre_n,post_n,pre_slope,post_slope,sse_total,effect_size_mean_diff,p_value,ci_low,ci_high,phase6_track,result_family,effect_size,n,legacy_n,modern_n,tau,intercept,effect_metric,p_metric,ci_metric,year,window,n_docs,mean_combined_text_length,median_combined_text_length,mean_clean_text_length,section_not_found_rate,short_document_rate,mean_ttr,mean_non_ascii_rate,mean_digit_alpha_ratio,intro_not_found_rate,methods_not_found_rate,results_not_found_rate,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
Route_A_Modern,primary_breakpoint,,,,,,,,,,,,,Track_B,pett_breakpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route_A_Modern,sensitivity_best_break,2005-2009,2010-2014,1.0,2.0,4.0,-0.0010305047035215,-0.0008117185533046,2.1609907036423957e-06,-0.0250140894204378,0.0729635182408795,-0.0307941734790802,-0.0192340053617954,Track_B,pett_breakpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_454ada71b951,10.5032_jae.1994.02044.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02044.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02044.json,Route_B_Legacy,ocr,era_3,6.0,20541.0,18483.0,485.0,10464.0,17.0,0.0,0.0,1.0,1.0,10950.0,0.0,1533.0,437.0,0.2850619699934768,0.0017351598173515,0.0252391379509046
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_e174dbace27f,10.5032_jae.1994.02050.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02050.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02050.json,Route_B_Legacy,ocr,era_3,5.0,18057.0,16213.0,980.0,6069.0,8863.0,0.0,0.0,0.0,0.0,15914.0,0.0,2374.0,639.0,0.2691659646166807,0.0005655397762975,0.0147138542554015
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_a7f7877ce2bd,10.5032_jae.1994.02055.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02055.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02055.json,Route_B_Legacy,ocr,era_3,5.0,20007.0,19124.0,319.0,12223.0,17.0,0.0,0.0,1.0,1.0,12543.0,0.0,1678.0,429.0,0.2556615017878427,0.0010364346647532,0.0402025316455696
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_c780b6991b49,10.5032_jae.1994.02060.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02060.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02060.json,Route_B_Legacy,ocr,era_3,5.0,18185.0,16356.0,431.0,2537.0,7110.0,0.0,0.0,0.0,0.0,10080.0,0.0,1305.0,391.0,0.2996168582375479,0.0006944444444444,0.0826022405182885
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_9db952870d36,10.5032_jae.1994.02065.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.02065.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.02065.json,Route_B_Legacy,ocr,era_3,7.0,22798.0,18887.0,659.0,4443.0,4454.0,0.0,0.0,0.0,0.0,9558.0,0.0,1311.0,357.0,0.2723112128146453,0.0002092487968194,0.0670774401344349
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_501d5528fb0d,10.5032_jae.1994.03001.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03001.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03001.json,Route_B_Legacy,ocr,era_3,5.0,15650.0,14405.0,580.0,1187.0,11016.0,0.0,0.0,0.0,0.0,12785.0,0.0,1770.0,441.0,0.2491525423728813,0.0012514665623777,0.0212024397327911
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_a13e331f1d05,10.5032_jae.1994.03006.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03006.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03006.json,Route_B_Legacy,ocr,era_3,5.0,17611.0,16743.0,1958.0,4730.0,5404.0,0.0,0.0,0.0,0.0,12094.0,0.0,1627.0,475.0,0.2919483712354025,0.0003307425169505,0.0346057046979865
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_7c631e773cae,10.5032_jae.1994.03011.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03011.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03011.json,Route_B_Legacy,ocr,era_3,7.0,23997.0,22827.0,760.0,4181.0,8244.0,0.0,0.0,0.0,0.0,13187.0,0.0,1749.0,411.0,0.2349914236706689,0.0002274967771289,0.0663478780633592
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_310ed22a019e,10.5032_jae.1994.03018.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03018.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03018.json,Route_B_Legacy,ocr,era_3,5.0,18825.0,11292.0,1116.0,3716.0,3846.0,0.0,0.0,0.0,0.0,8680.0,0.0,1204.0,432.0,0.3588039867109635,0.0003456221198156,0.0278101339545719
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_06834e1aa470,10.5032_jae.1994.03023.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03023.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03023.json,Route_B_Legacy,ocr,era_3,7.0,22884.0,19666.0,919.0,5092.0,3000.0,0.0,0.0,0.0,0.0,9013.0,0.0,1356.0,441.0,0.3252212389380531,0.0003328525463219,0.0070594623947868
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_b8ca9149c93f,10.5032_jae.1994.03030.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03030.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03030.json,Route_B_Legacy,ocr,era_3,5.0,17301.0,16376.0,762.0,3638.0,8093.0,0.0,0.0,0.0,0.0,12495.0,0.0,1808.0,440.0,0.243362831858407,0.0005602240896358,0.0496816616219601
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_826607a6cbc8,10.5032_jae.1994.03035.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03035.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03035.json,Route_B_Legacy,ocr,era_3,9.0,32439.0,28891.0,405.0,2667.0,13844.0,0.0,0.0,0.0,0.0,16918.0,0.0,2336.0,655.0,0.2803938356164384,0.0015368246837687,0.0661261119420609
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_9f6ba04a15d1,10.5032_jae.1994.03044.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03044.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03044.json,Route_B_Legacy,ocr,era_3,6.0,22212.0,18849.0,1138.0,3201.0,8879.0,0.0,0.0,0.0,0.0,13220.0,0.0,1721.0,522.0,0.3033120278907611,0.0002269288956127,0.0307212401928348
,,,,,,,,,,,,,,Track_A,ocr_audit_doc_level_1985_1994,,,,,,,,,,1994.0,audit_1985_1994,,,,,,,,,,,,,jae_01a636051fee,10.5032_jae.1994.03050.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1994/10.5032_jae.1994.03050.pdf,data/structured/Route_B_Legacy/1994/10.5032_jae.1994.03050.json,Route_B_Legacy,ocr,era_3,7.0,21462.0,19574.0,913.0,4323.0,4351.0,0.0,0.0,0.0,0.0,9589.0,0.0,1356.0,407.0,0.3001474926253687,0.0009385754510376,0.0316556291390728
