year,window,doc_id,source_filename,source_pdf_path,source_json_path,route,extraction_method,segmentation_strategy,page_count,raw_text_length,clean_text_length,A_intro_length,A_methods_length,A_results_length,A_intro_section_not_found,A_methods_section_not_found,A_results_section_not_found,any_section_not_found,combined_text_length,short_document_flag,token_count,type_count,ttr,non_ascii_rate,digit_alpha_ratio
1985,audit_1985_1994,jae_9b5f4060c9c9,10.5032_jaatea.1985.03057.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03057.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03057.json,Route_B_Legacy,ocr,era_3,5,12864,11904,11029,17,620,0,1,0,1,11650,0,1747,558,0.31940469376073266,8.583690987124464e-05,0.00922335184991091
1985,audit_1985_1994,jae_e402d735560b,10.5032_jaatea.1985.03062.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03062.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03062.json,Route_B_Legacy,ocr,era_3,8,19113,17369,917,3570,6723,0,0,0,0,11212,0,1596,449,0.28132832080200504,0.001337852301105958,0.018167719065027142
1985,audit_1985_1994,jae_a75baa29694b,10.5032_jaatea.1985.03070.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03070.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03070.json,Route_B_Legacy,ocr,era_3,9,18710,17591,425,3466,9357,0,0,0,0,13250,0,1826,509,0.2787513691128149,0.0009056603773584906,0.05042426606846777
1985,audit_1985_1994,jae_9cab4eeb18d3,10.5032_jaatea.1985.03079.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.03079.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.03079.json,Route_B_Legacy,ocr,era_3,7,15160,14362,17,17,17,1,1,1,1,0,1,0,0,,,
1985,audit_1985_1994,jae_26d918251dda,10.5032_jaatea.1985.04002.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04002.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04002.json,Route_B_Legacy,ocr,era_3,7,14374,6764,2515,3965,17,0,0,1,1,6481,0,914,366,0.40043763676148797,0.00015429717636167257,0.02001906577693041
1985,audit_1985_1994,jae_e064714df6c9,10.5032_jaatea.1985.04009.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04009.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04009.json,Route_B_Legacy,ocr,era_3,7,15917,12633,991,3507,4485,0,0,0,0,8985,0,1213,396,0.32646331409727947,0.001335559265442404,0.0913978494623656
1985,audit_1985_1994,jae_797f462a5682,10.5032_jaatea.1985.04022.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04022.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04022.json,Route_B_Legacy,ocr,era_3,12,24190,22039,3940,3351,10552,0,0,0,0,17845,0,2513,632,0.2514922403501791,0.0005603810591202018,0.04693298406461471
1985,audit_1985_1994,jae_c01336eb7e12,10.5032_jaatea.1985.04034.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04034.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04034.json,Route_B_Legacy,ocr,era_3,9,18311,16604,5153,17,8085,0,1,0,1,13239,0,1762,438,0.24858115777525538,0.00022660321776569228,0.056577782150939684
1985,audit_1985_1994,jae_ab1e05d22cfe,10.5032_jaatea.1985.04043.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04043.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04043.json,Route_B_Legacy,ocr,era_3,12,24454,22979,1882,4555,9492,0,0,0,0,15931,0,2174,468,0.21527138914443422,0.0003138534931893792,0.06302451867697877
1985,audit_1985_1994,jae_f116cca366ef,10.5032_jaatea.1985.04055.pdf,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1985/10.5032_jaatea.1985.04055.pdf,data/structured/Route_B_Legacy/1985/10.5032_jaatea.1985.04055.json,Route_B_Legacy,ocr,era_3,11,23408,20646,4754,17,8428,0,1,0,1,13183,0,1785,364,0.20392156862745098,0.00045513160889023744,0.07612562252261408
